0.135 3.36 0.034 0.36
0.2025 2.95 0.0335 0.394
0.27 2.49 0.034 0.429
0.338 2.09 0.034 0.34
0.4055 1.74 0.0335 0.243
0.473 1.43 0.034 0.246
0.5405 1.17 0.0335 0.26
0.608 0.944 0.034 0.24
0.6755 0.753 0.0335 0.221
0.743 0.602 0.034 0.219
0.8105 0.483 0.0335 0.232
0.878 0.385 0.034 0.233
0.946 0.321 0.034 0.233
1.0135 0.265 0.0335 0.212
1.081 0.223 0.034 0.182
1.1485 0.194 0.0335 0.13
1.216 0.16 0.034 0.0939
1.2835 0.133 0.0335 0.0769
1.351 0.111 0.034 0.0689
1.4185 0.0926 0.0335 0.0625
1.486 0.0798 0.034 0.0537
1.554 0.0662 0.034 0.0452
1.6215 0.058 0.0335 0.0392

